,open,high,low,close,volume
2005-01-03,1197.1339454373785,1220.6790294654825,1184.7093145715014,1208.140168889438,22525923
2005-01-04,1205.823491357468,1213.5951724242866,1199.7475395841052,1207.5107189807018,68470306
2005-01-05,1204.2443815006734,1230.219341631125,1192.0377761085995,1217.8745762350718,113080406
2005-01-06,1214.0173521567851,1253.5092024933988,1202.6300633750297,1241.8607471158773,31463173
2005-01-07,1242.886521391048,1250.0059555757073,1233.470309486999,1240.5765116006803,45011455
2005-01-10,1240.045376885293,1249.909790888944,1228.1735334081066,1238.021850499183,38652484
2005-01-11,1238.961274844048,1267.6023167669073,1234.0392062016556,1262.586391722928,34018842
2005-01-12,1264.329954557635,1285.5092972418001,1255.4472210906097,1276.5407748855725,32273354
2005-01-13,1277.218916730147,1291.6667831364998,1256.7051635371186,1271.083627717385,36190400
2005-01-14,1272.7557717256254,1288.7281359500248,1264.213144699573,1280.1359736448767,37182297
2005-01-17,1279.9579520829795,1293.9039477857602,1260.6212507073606,1274.5078640656307,41837426
2005-01-18,1271.4821992496516,1282.165871217525,1257.4841453215106,1268.139732096648,40345694
2005-01-19,1270.8226444803963,1278.1493044084484,1265.207175149606,1272.5263069897592,73157050
2005-01-20,1271.0269856162975,1281.5905702655498,1234.506928984248,1244.852979836981,69962624
2005-01-21,1242.523620156103,1251.9168915853222,1209.7703296513043,1218.9856580106807,23226008
2005-01-24,1218.5518993328621,1226.4559306427557,1202.634029333016,1210.4857402006153,37159810
2005-01-25,1208.2758509979997,1212.7420063366103,1191.978727935606,1196.4009901739605,93438328
2005-01-26,1195.4021619292787,1209.1874573798927,1187.4323121478792,1201.1790923031858,57918420
2005-01-27,1202.0056330575997,1205.8852550013905,1185.5108839959933,1189.3496572114066,59101621
2005-01-28,1190.178257467736,1194.3292308862606,1165.640090550046,1169.7197108897403,56346054
2005-01-31,1167.6192918382853,1198.363538664407,1159.8439219322222,1190.436227014696,43868321
2005-02-01,1189.2750627265602,1195.8800761946122,1182.6042404542864,1189.2088863912265,48984264
2005-02-02,1191.7640991036587,1205.7738143483348,1177.0625397254516,1191.0640252921598,40856811
2005-02-03,1192.2465139369272,1199.7064695890742,1164.5692671628017,1171.9019255442956,76699150
2005-02-04,1176.7654709747799,1188.625597351739,1152.5244929744351,1164.258567508995,41043557
2005-02-07,1167.0065161830696,1176.1120556581209,1157.2601615641843,1166.360661776202,47254352
2005-02-08,1169.029978617625,1180.1835261057483,1140.4010115145563,1151.3862224537095,72218174
